X	Y
0	0.195
0.02	0.195
0.04	0.195
0.06	0.195
0.08	0.195
0.1	0.195
0.12	0.195
0.14	0.195
0.16	0.195
0.18	0.195
0.2	0.195
0.22	0.195
0.24	0.195
0.26	0.195
0.28	0.195
0.3	0.195
0.32	0.195
0.34	0.195
0.36	0.195
0.38	0.195
0.4	0.195
0.42	0.195
0.44	0.195
0.46	0.195
0.48	0.195
0.5	0.195
0.52	0.195
0.54	0.195
0.56	0.195
0.58	0.195
0.6	0.195
0.62	0.195
0.64	0.195
0.66	0.195
0.68	0.195
0.7	0.195
0.72	0.195
0.74	0.195
0.76	0.195
0.78	0.195
0.8	0.195
0.82	0.195
0.84	0.195
0.86	0.195
0.88	0.195
0.9	0.195
0.92	0.195
0.94	0.195
0.96	0.195
0.98	0.195
1	0.195
1.02	0.195
1.04	0.195
1.06	0.195
1.08	0.195
1.1	0.195
1.12	0.195
1.14	0.195
1.16	0.195
1.18	0.195
1.2	0.195
1.22	0.195
1.24	0.195
1.26	0.195
1.28	0.195
1.3	0.195
1.32	0.195
1.34	0.195
1.36	0.195
1.38	0.195
1.4	0.195
1.42	0.195
1.44	0.195
1.46	0.195
1.48	0.195
1.5	0.195
1.52	0.195
1.54	0.195
1.56	0.195
1.58	0.195
1.6	0.195
1.62	0.195
1.64	0.195
1.66	0.195
1.68	0.195
1.7	0.195
1.72	0.195
1.74	0.195
1.76	0.195
1.78	0.195
1.8	0.195
1.82	0.195
1.84	0.195
1.86	0.195
1.88	0.195
1.9	0.195
1.92	0.195
1.94	0.195
1.96	0.195
1.98	0.195
2	0.195
2.02	0.195
2.04	0.195
2.06	0.195
2.08	0.195
2.1	0.195
2.12	0.195
2.14	0.195
2.16	0.195
2.18	0.195
2.2	0.195
2.22	0.195
2.24	0.195
2.26	0.195
2.28	0.195
2.3	0.195
2.32	0.195
2.34	0.195
2.36	0.195
2.38	0.195
2.4	0.195
2.41	0.195
2.42999111	0.195481779
2.449935805	0.196925998
2.469787776	0.199329302
2.489500929	0.202686113
2.509029495	0.206988637
2.528328132	0.212226882
2.547352032	0.218388688
2.566057024	0.225459748
2.584399678	0.233423644
2.602337407	0.242261884
2.619828562	0.251953949
2.636832531	0.262477335
2.653309834	0.273807608
2.669222214	0.285918461
2.684532725	0.298781776
2.699205818	0.312367685
2.713207426	0.326644645
2.726505038	0.341579507
2.739067781	0.357137596
2.750866485	0.373282786
2.761873757	0.389977593
2.772064038	0.407183254
2.78141367	0.424859821
2.789900943	0.44296625
2.797506152	0.461460504
2.804211639	0.48029964
2.810001835	0.499439918
2.814863296	0.518836897
2.818784735	0.538445541
2.821757046	0.558220322
2.823773329	0.578115327
2.824828902	0.598084362
2.825	0.61
2.825	0.63
2.825	0.65
2.825	0.67
2.825	0.69
2.825	0.71
2.825	0.73
2.825	0.75
2.825	0.77
2.825	0.79
2.825	0.81
2.825	0.83
2.825	0.85
2.825	0.87
2.825	0.89
2.825	0.91
2.825	0.93
2.825	0.95
2.825	0.97
2.825	0.99
2.825	1.01
2.825	1.03
2.825	1.05
2.825	1.07
2.825	1.09
2.825	1.11
2.825	1.13
2.825	1.15
2.825	1.17
2.825	1.19
2.825	1.21
2.825	1.23
2.825	1.25
2.825	1.27
2.825	1.29
2.825	1.31
2.825	1.33
2.825	1.35
2.825	1.37
2.825	1.39
2.825	1.41
2.825	1.43
2.825	1.45
2.825	1.47
2.825	1.49
2.825	1.51
2.825	1.53
2.825	1.55
2.825	1.57
2.825	1.59
2.825	1.61
2.825	1.63
2.825	1.65
2.825	1.67
2.825	1.69
2.825	1.71
2.825	1.73
2.825	1.75
2.825	1.77
2.825	1.79
2.825	1.81
2.825	1.83
2.825	1.85
2.825	1.87
2.825	1.89
2.825	1.91
2.825	1.93
2.825	1.95
2.825	1.97
2.825	1.99
2.825	2.01
2.825	2.03
2.825	2.05
2.825	2.07
2.825	2.09
2.825	2.11
2.825	2.13
2.825	2.15
2.825	2.17
2.825	2.19
2.825	2.21
2.825	2.23
2.825	2.25
2.825	2.27
2.825	2.29
2.825	2.31
2.825	2.33
2.825	2.35
2.825	2.37
2.825	2.39
2.825	2.41
2.824518221	2.42999111
2.823074002	2.449935805
2.820670698	2.469787776
2.817313887	2.489500929
2.813011363	2.509029495
2.807773118	2.528328132
2.801611312	2.547352032
2.794540252	2.566057024
2.786576356	2.584399678
2.777738116	2.602337407
2.768046051	2.619828562
2.757522666	2.636832531
2.746192393	2.653309834
2.734081539	2.669222214
2.721218224	2.684532725
2.707632315	2.699205818
2.693355355	2.713207426
2.678420493	2.726505038
2.662862405	2.739067781
2.646717214	2.750866485
2.630022407	2.761873757
2.612816746	2.772064038
2.595140179	2.78141367
2.57703375	2.789900943
2.558539497	2.797506152
2.53970036	2.804211639
2.520560083	2.810001835
2.501163103	2.814863296
2.481554459	2.818784735
2.461779678	2.821757046
2.441884673	2.823773329
2.421915638	2.824828902
2.41	2.825
2.39	2.825
2.37	2.825
2.35	2.825
2.33	2.825
2.31	2.825
2.29	2.825
2.27	2.825
2.25	2.825
2.23	2.825
2.21	2.825
2.19	2.825
2.17	2.825
2.15	2.825
2.13	2.825
2.11	2.825
2.09	2.825
2.07	2.825
2.05	2.825
2.03	2.825
2.01	2.825
1.99	2.825
1.97	2.825
1.95	2.825
1.93	2.825
1.91	2.825
1.89	2.825
1.87	2.825
1.85	2.825
1.83	2.825
1.81	2.825
1.79	2.825
1.77	2.825
1.75	2.825
