X	Y	V	W
-2.985	-1.595	0.2	0
-2.965	-1.595	0.2	0
-2.945	-1.595	0.2	0
-2.925	-1.595	0.2	0
-2.905	-1.595	0.2	0
-2.885	-1.595	0.2	0
-2.865	-1.595	0.2	0
-2.845	-1.595	0.2	0
-2.825	-1.595	0.2	0
-2.805	-1.595	0.2	0
-2.785	-1.595	0.2	0
-2.765	-1.595	0.2	0
-2.745	-1.595	0.2	0
-2.725	-1.595	0.2	0
-2.705	-1.595	0.2	0
-2.685	-1.595	0.2	0
-2.665	-1.595	0.2	0
-2.645	-1.595	0.2	0
-2.625	-1.595	0.2	0
-2.605	-1.595	0.2	0
-2.585	-1.595	0.2	0
-2.565	-1.595	0.2	0
-2.545	-1.595	0.2	0
-2.525	-1.595	0.2	0
-2.505	-1.595	0.2	0
-2.485	-1.595	0.2	0
-2.465	-1.595	0.2	0
-2.445	-1.595	0.2	0
-2.425	-1.595	0.2	0
-2.405	-1.595	0.2	0
-2.385	-1.595	0.2	0
-2.365	-1.595	0.2	0
-2.345	-1.595	0.2	0
-2.325	-1.595	0.2	0
-2.305	-1.595	0.2	0
-2.285	-1.595	0.2	0
-2.265	-1.595	0.2	0
-2.245	-1.595	0.2	0
-2.225	-1.595	0.2	0
-2.205	-1.595	0.2	0
-2.185	-1.595	0.2	0
-2.165	-1.595	0.2	0
-2.145	-1.595	0.2	0
-2.125	-1.595	0.2	0
-2.105	-1.595	0.2	0
-2.085	-1.595	0.2	0
-2.065	-1.595	0.2	0
-2.045	-1.595	0.2	0
-2.025	-1.595	0.2	0
-2.005	-1.595	0.2	0
-1.985	-1.595	0.2	0
-1.965	-1.595	0.2	0
-1.945	-1.595	0.2	0
-1.925	-1.595	0.2	0
-1.905	-1.595	0.2	0
-1.885	-1.595	0.2	0
-1.865	-1.595	0.2	0
-1.845	-1.595	0.2	0
-1.825	-1.595	0.2	0
-1.805	-1.595	0.2	0
-1.785	-1.595	0.2	0
-1.765	-1.595	0.2	0
-1.745	-1.595	0.2	0
-1.725	-1.595	0.2	0
-1.705	-1.595	0.2	0
-1.685	-1.595	0.2	0
-1.665	-1.595	0.2	0
-1.645	-1.595	0.2	0
-1.625	-1.595	0.2	0
-1.605	-1.595	0.2	0
-1.585	-1.595	0.2	0
-1.565	-1.595	0.2	0
-1.545	-1.595	0.2	0
-1.525	-1.595	0.2	0
-1.505	-1.595	0.2	0
