x	y
2.85	-1.78
2.85	-1.76
2.85	-1.74
2.85	-1.72
2.85	-1.7
2.85	-1.68
2.85	-1.66
2.85	-1.64
2.85	-1.62
2.85	-1.6
2.85	-1.58
2.85	-1.56
2.85	-1.54
2.85	-1.52
2.85	-1.5
2.85	-1.48
2.85	-1.46
2.85	-1.44
2.85	-1.42
2.85	-1.4
2.85	-1.38
2.85	-1.36
2.85	-1.34
2.85	-1.32
2.85	-1.3
2.85	-1.28
2.85	-1.26
2.85	-1.24
2.85	-1.22
2.85	-1.2
2.85	-1.18
2.85	-1.16
2.85	-1.14
2.85	-1.12
2.85	-1.1
2.85	-1.08
2.85	-1.06
2.85	-1.04
2.85	-1.02
2.85	-1
2.85	-0.98
2.85	-0.96
2.85	-0.94
2.85	-0.92
2.85	-0.9
2.85	-0.88
2.85	-0.86
2.85	-0.84
2.85	-0.82
2.85	-0.8
2.85	-0.78
2.85	-0.76
2.85	-0.74
2.85	-0.72
2.85	-0.7
2.85	-0.68
2.85	-0.66
2.85	-0.64
2.85	-0.62
2.85	-0.6
2.85	-0.58
2.85	-0.56
2.85	-0.54
2.85	-0.52
2.85	-0.5
2.85	-0.48
2.85	-0.46
2.85	-0.44
2.85	-0.42
2.85	-0.4
2.85	-0.38
2.85	-0.36
2.85	-0.34
2.85	-0.32
2.85	-0.3
2.85	-0.28
2.85	-0.26
2.85	-0.24
2.85	-0.22
2.85	-0.2
2.85	-0.18
2.85	-0.16
2.85	-0.14
2.85	-0.12
2.85	-0.1
2.85	-0.08
2.85	-0.06
2.85	-0.04
2.85	-0.02
2.85	0
2.8493832906	0.0235511803
2.8475348529	0.0470378085
2.8444597533	0.0703955093
2.8401664203	0.0935602609
2.8346666218	0.1164685703
2.8279754323	0.1390576475
2.8201111919	0.1612655773
2.8110954559	0.1830314894
2.8009529359	0.2042957249
2.7897114317	0.225
2.7774017556	0.2450875658
2.7640576475	0.2645033635
2.7497156827	0.283194176
2.7344151715	0.3011087729
2.7181980515	0.3181980515
2.7011087729	0.3344151715
2.683194176	0.3497156827
2.6645033635	0.3640576475
2.6450875658	0.3774017556
2.625	0.3897114317
2.6042957249	0.4009529359
2.5830314894	0.4110954559
2.5612655773	0.4201111919
2.5390576475	0.4279754323
2.5164685703	0.4346666218
2.4935602609	0.4401664203
2.4703955093	0.4444597533
2.4470378085	0.4475348529
2.4235511803	0.4493832906
2.4	0.45
2.38	0.45
2.36	0.45
2.34	0.45
2.32	0.45
2.3	0.45
2.28	0.45
2.26	0.45
2.24	0.45
2.22	0.45
2.2	0.45
2.18	0.45
2.16	0.45
2.14	0.45
2.12	0.45
2.1	0.45
2.08	0.45
2.06	0.45
2.04	0.45
2.02	0.45
2	0.45
1.98	0.45
1.96	0.45
1.94	0.45
1.92	0.45
1.9	0.45
1.88	0.45
1.86	0.45
1.84	0.45
1.82	0.45
1.8	0.45
1.78	0.45
1.76	0.45
1.74	0.45
1.72	0.45
1.7	0.45
1.68	0.45
1.66	0.45
1.64	0.45
1.62	0.45
1.6	0.45
1.58	0.45
1.56	0.45
1.54	0.45
1.52	0.45
1.5	0.45
1.48	0.45
1.46	0.45
1.44	0.45
1.42	0.45
1.4	0.45
1.38	0.45
1.36	0.45
1.34	0.45
1.32	0.45
1.3	0.45
1.28	0.45
1.26	0.45
1.24	0.45
1.22	0.45
1.2	0.45
1.1765348302	0.4518467489
1.1536474508	0.4573415226
1.131901425	0.4663490214
1.1118322122	0.4786474508
1.0939339828	0.4939339828
1.0786474508	0.5118322122
1.0663490214	0.531901425
1.0573415226	0.5536474508
1.0518467489	0.5765348302
1.05	0.6
1.05	0.62
1.05	0.64
1.05	0.66
1.05	0.68
1.05	0.7
1.05	0.72
1.05	0.74
1.05	0.76
1.05	0.78
1.05	0.8
1.05	0.82
1.05	0.84
1.05	0.86
1.05	0.88
1.05	0.9
