X	Y
-2.985	-1.595
-2.965	-1.595
-2.945	-1.595
-2.925	-1.595
-2.905	-1.595
-2.885	-1.595
-2.865	-1.595
-2.845	-1.595
-2.825	-1.595
-2.805	-1.595
-2.785	-1.595
-2.765	-1.595
-2.745	-1.595
-2.725	-1.595
-2.705	-1.595
-2.685	-1.595
-2.665	-1.595
-2.645	-1.595
-2.625	-1.595
-2.605	-1.595
-2.585	-1.595
-2.565	-1.595
-2.545	-1.595
-2.525	-1.595
-2.505	-1.595
-2.485	-1.595
-2.465	-1.595
-2.445	-1.595
-2.425	-1.595
-2.405	-1.595
-2.385	-1.595
-2.365	-1.595
-2.345	-1.595
-2.325	-1.595
-2.305	-1.595
-2.285	-1.595
-2.265	-1.595
-2.245	-1.595
-2.225	-1.595
-2.205	-1.595
-2.185	-1.595
-2.165	-1.595
-2.145	-1.595
-2.125	-1.595
-2.105	-1.595
-2.085	-1.595
-2.065	-1.595
-2.045	-1.595
-2.025	-1.595
-2.005	-1.595
-1.985	-1.595
-1.965	-1.595
-1.945	-1.595
-1.925	-1.595
-1.905	-1.595
-1.885	-1.595
-1.865	-1.595
-1.845	-1.595
-1.825	-1.595
-1.805	-1.595
-1.785	-1.595
-1.765	-1.595
-1.745	-1.595
-1.725	-1.595
-1.705	-1.595
-1.685	-1.595
-1.665	-1.595
-1.645	-1.595
-1.625	-1.595
-1.605	-1.595
-1.585	-1.595
-1.565	-1.595
-1.545	-1.595
-1.525	-1.595
-1.505	-1.595
-1.485	-1.595
-1.465	-1.595
-1.445	-1.595
-1.425	-1.595
-1.405	-1.595
-1.385	-1.595
-1.365	-1.595
-1.345	-1.595
-1.325	-1.595
-1.305	-1.595
-1.285	-1.595
-1.265	-1.595
-1.245	-1.595
-1.225	-1.595
-1.205	-1.595
-1.185	-1.595
-1.165	-1.595
-1.145	-1.595
-1.125	-1.595
-1.105	-1.595
-1.085	-1.595
-1.065	-1.595
-1.045	-1.595
-1.025	-1.595
-1.005	-1.595
-0.985	-1.595
-0.965	-1.595
-0.945	-1.595
-0.925	-1.595
-0.905	-1.595
-0.885	-1.595
-0.865	-1.595
-0.845	-1.595
-0.825	-1.595
-0.805	-1.595
-0.785	-1.595
-0.765	-1.595
-0.745	-1.595
-0.725	-1.595
-0.705	-1.595
-0.685	-1.595
-0.665	-1.595
-0.645	-1.595
-0.625	-1.595
-0.605	-1.595
-0.585	-1.595
-0.575	-1.595
-0.55500889	-1.594518221
-0.535064195	-1.593074002
-0.515212225	-1.590670698
-0.495499071	-1.587313887
-0.475970505	-1.583011363
-0.456671868	-1.577773118
-0.437647968	-1.571611312
-0.418942976	-1.564540252
-0.400600322	-1.556576356
-0.382662593	-1.547738116
-0.365171438	-1.538046051
-0.348167469	-1.527522666
-0.331690166	-1.516192393
-0.315777786	-1.504081539
-0.300467275	-1.491218224
-0.285794182	-1.477632315
-0.271792574	-1.463355355
-0.258494962	-1.448420493
-0.245932219	-1.432862405
-0.234133515	-1.416717214
-0.223126244	-1.400022407
-0.212935962	-1.382816746
-0.20358633	-1.365140179
-0.195099057	-1.34703375
-0.187493848	-1.328539497
-0.180788361	-1.30970036
-0.174998165	-1.290560083
-0.170136704	-1.271163103
-0.166215265	-1.251554459
-0.163242954	-1.231779678
-0.161226671	-1.211884673
-0.160171098	-1.191915638
-0.16	-1.18
-0.16	-1.16
-0.16	-1.14
-0.16	-1.12
-0.16	-1.1
-0.16	-1.08
-0.16	-1.06
-0.16	-1.04
-0.16	-1.02
-0.16	-1
-0.16	-0.98
-0.16	-0.96
-0.16	-0.94
-0.16	-0.92
-0.16	-0.9
-0.16	-0.88
-0.16	-0.86
-0.16	-0.84
-0.16	-0.82
-0.16	-0.8
-0.16	-0.78
-0.16	-0.76
-0.16	-0.74
-0.16	-0.72
-0.16	-0.7
-0.16	-0.68
-0.16	-0.66
-0.16	-0.64
-0.16	-0.62
-0.16	-0.6
-0.16	-0.58
-0.16	-0.56
-0.16	-0.54
-0.16	-0.52
-0.16	-0.5
-0.16	-0.48
-0.16	-0.46
-0.16	-0.44
-0.16	-0.42
-0.16	-0.4
-0.16	-0.38
-0.16	-0.36
-0.16	-0.34
-0.16	-0.32
-0.16	-0.3
-0.16	-0.28
-0.16	-0.26
-0.16	-0.24
-0.16	-0.22
-0.16	-0.2
-0.16	-0.18
-0.16	-0.16
-0.16	-0.14
-0.16	-0.12
-0.16	-0.1
-0.16	-0.08
-0.16	-0.06
-0.16	-0.04
-0.16	-0.02
-0.16	0
-0.16	0.02
-0.16	0.04
